PARENT_SITE_ORG,CHILD_SITE_ORG,SCTR_MBR_NM,CURC,YEAR_MON,SCENARIO,AMT,ORG_L1,ORG_L2,ORG_L3,ORG_L4,ORG_L5,ORG_L6,PARENT,YEAR,MONTH_NO,MONTH,CURRENCY,UNIT
[Site Group].[Group],[Site Org].[OtherH_Group].[IC_ATM_T].[Oth_Manufactors-Consol],AsLogic,USD K,2014_02,Actual,1,Site Org,OtherH_Group,IC_ATM_T,Oth_Manufactors-Consol,Oth_Manufactors-Consol,Oth_Manufactors-Consol,Group,2014,2,2-Feb,USD,K
[Site Group].[Oth_Manufactors],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Oth_Manufactors].[ASEWH],AsLogic,NTD K,2014_06,Actual,1,Site Org,ASEInc_Group,ASEInc_ATM_Group,Oth_Manufactors,ASEWH,ASEWH,Oth_Manufactors,2014,6,6-Jun,NTD,K
[Site Group].[NewK_Group],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[NewK_Group].[ASENT],AsLogic,USD K,2014_06,ForecastV2,1,Site Org,ASEInc_Group,ASEInc_ATM_Group,NewK_Group,ASENT,ASENT,NewK_Group,2014,6,6-Jun,USD,K
[Site Group].[Group Elim],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Group Elim].[T_Group Total-Elim],AsLogic,NTD K,2014_04,Actual,1,Site Org,ASEInc_Group,ASEInc_ATM_Group,Group Elim,T_Group Total-Elim,T_Group Total-Elim,Group Elim,2014,4,4-Apr,NTD,K
[Site Group].[NewK_Group],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[NewK_Group].[ASENT],AsLogic,NTD K,2014_10,ForecastV2,1,Site Org,ASEInc_Group,ASEInc_ATM_Group,NewK_Group,ASENT,ASENT,NewK_Group,2014,10,10-Oct,NTD,K
[Site Group].[T_Group],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[T_Group].[ASESG],TeLogic,NTD K,2014_06,Actual,1,Site Org,ASEInc_Group,ASEInc_ATM_Group,T_Group,ASESG,ASESG,T_Group,2014,6,6-Jun,NTD,K
[Site Group].[Group],[Site Org].[OtherR_Group].[ADVANCEDSHr],AsLogic,USD K,2014_12,Actual,1,Site Org,OtherR_Group,ADVANCEDSHr,ADVANCEDSHr,ADVANCEDSHr,ADVANCEDSHr,Group,2014,12,12-Dec,USD,K
[Site Group].[Oth_Manufactors],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Oth_Manufactors].[ASESH].[ASESH_AT],TeLogic,USD K,2014_02,Actual,1,Site Org,ASEInc_Group,ASEInc_ATM_Group,Oth_Manufactors,ASESH,ASESH_AT,Oth_Manufactors,2014,2,2-Feb,USD,K
[Site Group].[Group Elim],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Group Elim].[M_Group Total-Elim],BGA,USD K,2014_06,Actual,1,Site Org,ASEInc_Group,ASEInc_ATM_Group,Group Elim,M_Group Total-Elim,M_Group Total-Elim,Group Elim,2014,6,6-Jun,USD,K
[Site Group].[Group],[Site Org].[OtherH_Group].[IC_ATM_T].[T_Group Total-Consol],AsLogic,NTD K,2014_02,Actual,1,Site Org,OtherH_Group,IC_ATM_T,T_Group Total-Consol,T_Group Total-Consol,T_Group Total-Consol,Group,2014,2,2-Feb,NTD,K
[Site Group].[Holdings],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Holdings].[MSJAPAN],OtOther,USD K,2014_05,ForecastV2,1,Site Org,ASEInc_Group,ASEInc_ATM_Group,Holdings,MSJAPAN,MSJAPAN,Holdings,2014,5,5-May,USD,K
