Dimension,Parent,Child,ConsolidationOp,DataStorage,SolveOrder,HasFormula,Notes
Time,,Time,,Store data,,,Dimension type=Time
Time,Time,2007,+,Store data,,,
Time,2007,2007/H1,+,Store data,,,reconstructed
Time,2007,2007/H2,+,Store data,,,reconstructed
Time,2007/H1,2007/Q1,+,Store data,,,reconstructed
Time,2007/H1,2007/Q2,+,Store data,,,reconstructed
Time,2007/H2,2007/Q3,+,Store data,,,reconstructed
Time,2007/H2,2007/Q4,+,Store data,,,reconstructed
Time,2007/Q1,2007/01,+,Store data,,,reconstructed
Time,2007/Q1,2007/02,+,Store data,,,reconstructed
Time,2007/Q1,2007/03,+,Store data,,,reconstructed
Time,2007/Q2,2007/04,+,Store data,,,reconstructed
Time,2007/Q2,2007/05,+,Store data,,,reconstructed
Time,2007/Q2,2007/06,+,Store data,,,reconstructed
Time,2007/Q3,2007/07,+,Store data,,,reconstructed
Time,2007/Q3,2007/08,+,Store data,,,reconstructed
Time,2007/Q3,2007/09,+,Store data,,,reconstructed
Time,2007/Q4,2007/10,+,Store data,,,reconstructed
Time,2007/Q4,2007/11,+,Store data,,,reconstructed
Time,2007/Q4,2007/12,+,Store data,,,reconstructed
Time,Time,2008,+,Store data,,,
Time,2008,2008/H1,+,Store data,,,reconstructed
Time,2008,2008/H2,+,Store data,,,reconstructed
Time,2008/H1,2008/Q1,+,Store data,,,reconstructed
Time,2008/H1,2008/Q2,+,Store data,,,reconstructed
Time,2008/H2,2008/Q3,+,Store data,,,reconstructed
Time,2008/H2,2008/Q4,+,Store data,,,reconstructed
Time,2008/Q1,2008/01,+,Store data,,,reconstructed
Time,2008/Q1,2008/02,+,Store data,,,reconstructed
Time,2008/Q1,2008/03,+,Store data,,,reconstructed
Time,2008/Q2,2008/04,+,Store data,,,reconstructed
Time,2008/Q2,2008/05,+,Store data,,,reconstructed
Time,2008/Q2,2008/06,+,Store data,,,reconstructed
Time,2008/Q3,2008/07,+,Store data,,,reconstructed
Time,2008/Q3,2008/08,+,Store data,,,reconstructed
Time,2008/Q3,2008/09,+,Store data,,,reconstructed
Time,2008/Q4,2008/10,+,Store data,,,reconstructed
Time,2008/Q4,2008/11,+,Store data,,,reconstructed
Time,2008/Q4,2008/12,+,Store data,,,reconstructed
Time,Time,2009,+,Store data,,,
Time,2009,2009/H1,+,Store data,,,reconstructed
Time,2009,2009/H2,+,Store data,,,reconstructed
Time,2009/H1,2009/Q1,+,Store data,,,reconstructed
Time,2009/H1,2009/Q2,+,Store data,,,reconstructed
Time,2009/H2,2009/Q3,+,Store data,,,reconstructed
Time,2009/H2,2009/Q4,+,Store data,,,reconstructed
Time,2009/Q1,2009/01,+,Store data,,,reconstructed
Time,2009/Q1,2009/02,+,Store data,,,reconstructed
Time,2009/Q1,2009/03,+,Store data,,,reconstructed
Time,2009/Q2,2009/04,+,Store data,,,reconstructed
Time,2009/Q2,2009/05,+,Store data,,,reconstructed
Time,2009/Q2,2009/06,+,Store data,,,reconstructed
Time,2009/Q3,2009/07,+,Store data,,,reconstructed
Time,2009/Q3,2009/08,+,Store data,,,reconstructed
Time,2009/Q3,2009/09,+,Store data,,,reconstructed
Time,2009/Q4,2009/10,+,Store data,,,reconstructed
Time,2009/Q4,2009/11,+,Store data,,,reconstructed
Time,2009/Q4,2009/12,+,Store data,,,reconstructed
Time,Time,2010,+,Store data,,,
Time,2010,2010/H1,+,Store data,,,reconstructed
Time,2010,2010/H2,+,Store data,,,reconstructed
Time,2010/H1,2010/Q1,+,Store data,,,reconstructed
Time,2010/H1,2010/Q2,+,Store data,,,reconstructed
