Dimension,Parent,Child,ConsolidationOp,DataStorage,SolveOrder,HasFormula,Notes
Time,,Time,,Store data,,,Dimension type=Time
Time,Time,2007,+,Store data,,,
Time,2007,2007/H1,+,Store data,,,collapsed:2 children not shown
Time,2007,2007/H2,+,Store data,,,collapsed:2 children not shown
Time,Time,2008,+,Store data,,,collapsed:2 children not shown
Time,Time,2009,+,Store data,,,collapsed:2 children not shown
Time,Time,2010,+,Store data,,,collapsed:2 children not shown
Time,Time,2011,+,Store data,,,collapsed:2 children not shown
Time,Time,2012,+,Store data,,,collapsed:2 children not shown
Time,Time,2013,+,Store data,,,collapsed:2 children not shown
Time,Time,2014,+,Store data,,,collapsed:2 children not shown
Time,Time,2015,+,Store data,,,collapsed:2 children not shown
Time,Time,2016,+,Store data,,,collapsed:2 children not shown
Time,Time,2017,+,Store data,,,collapsed:2 children not shown
Time,Time,2018,+,Store data,,,collapsed:2 children not shown
Time,Time,2019,+,Store data,,,collapsed:2 children not shown
Time,Time,2020,+,Store data,,,collapsed:2 children not shown
Time,Time,2021,+,Store data,,,collapsed:2 children not shown
Time,Time,2022,+,Store data,,,collapsed:2 children not shown
Time,Time,2023,+,Store data,,,collapsed:2 children not shown
Time,Time,2024,+,Store data,,,collapsed:2 children not shown
Time,Time,2025,+,Store data,,,collapsed:2 children not shown
Measure,,Measure,,Label only,,,Dimension type=Accounts
Measure,Measure,Current,~,Store data,,,
Measure,Measure,OP,+,Store data,,,
Measure,Measure,Current %,~,Store data,67,Y,
Measure,Measure,Current_D,~,Store data,66,Y,
Measure,Measure,Current YTD,~,Store data,66,Y,
Measure,Measure,Last Period,~,Store data,67,Y,
Measure,Measure,Same Period LY,~,Store data,68,Y,
Measure,Measure,CS_D,~,Store data,68,Y,
Measure,Measure,Last Year YTD,~,Store data,70,Y,
Measure,Measure,CYLY_D,~,Store data,70,Y,
Measure,Measure,CL_D,~,Store data,67,Y,
Measure,Measure,C/L Variance,~,Store data,68,Y,
Measure,Measure,C/L %,~,Store data,69,Y,
Measure,Measure,C/S Variance,~,Store data,72,Y,
Measure,Measure,C/S %,~,Store data,72,Y,
Measure,Measure,CY/LY Variance,~,Store data,72,Y,
Measure,Measure,CY/LY %,~,Store data,72,Y,
Measure,Measure,Draft Variance,+,Store data,66,Y,
Measure,Measure,C/D Variance,+,Store data,66,Y,
Measure,Measure,C/D%,+,Store data,67,Y,
Measure,Measure,FcstV2,+,Store data,66,Y,
Measure,Measure,C/F2 Variance,+,Store data,66,Y,
Measure,Measure,C/F2 %,+,Store data,67,Y,
Currency,,Currency,,Store data,,,Dimension type=None
Currency,Currency,NTD K,+,Store data,,,
Currency,Currency,USD K,+,Store data,,,
Sector Total,,Sector Total,,Never share,,,Dimension type=None
Sector Total,Sector Total,Assy,+,Store data,,,
Sector Total,Assy,AsLogic,+,Store data,,,
Sector Total,Assy,AsMemory,+,Store data,,,
Sector Total,Sector Total,Test,+,Store data,,,
Sector Total,Test,TeLogic,+,Store data,,,
Sector Total,Test,TeMemory,+,Store data,,,
Sector Total,Sector Total,Material,+,Store data,,,
Sector Total,Material,BGA,+,Store data,,,
Sector Total,Material,FlipChip,+,Store data,,,
Sector Total,Material,LeadFrame,+,Store data,,,
Sector Total,Sector Total,EMS,+,Store data,,,
Sector Total,EMS,EMSEMS,+,Store data,,,
Sector Total,Sector Total,Estate,+,Store data,,,
Sector Total,Estate,ReEstate,+,Store data,,,
Sector Total,Sector Total,Other,+,Store data,,,
Sector Total,Other,OtOther,+,Store data,,,
Site Group,,Site Group,,Store data,,,Dimension type=None
